id,code,mcc,name,category_code,category_label,owner_first_name,owner_last_name,owner_full_name,owner_gender,owner_ethnicity,phone,email,wilaya_id,wilaya_name,moughataa_id,moughataa_name,address,latitude,longitude,commission_rate,avg_transaction_min,avg_transaction_max,status,registration_date,created_at
23,MRC713274,7299,undefined du Marché Dakhlet Nouadhibou,SRV,,Saadbouh,Ould Taleb,Saadbouh Ould Taleb,M,MAURE,+22245741314,undefineddumarc@nafadpay.mr,4,Dakhlet Nouadhibou,10,,120 Avenue Nasser,NaN,NaN,0.0071,1000,20000,ACTIVE,2023-12-07,2023-12-07T04:48:51.524Z
331,MRC584883,5651,undefined du Sahel Nouakchott-Ouest,HAB,,Souleymane,Fall,Souleymane Fall,M,SONINKE,+22235975595,undefineddusahe@nafadpay.mr,2,Nouakchott-Ouest,4,,58 Avenue du Commerce,NaN,NaN,0.0181,2000,30000,ACTIVE,2022-09-18,2022-09-18T02:16:55.052Z
135,MRC597999,5411,undefined Capital Nouakchott-Nord,ALM,,Safiya,Mint Horma,Safiya Mint Horma,F,MAURE,+22233058096,undefinedcapita@nafadpay.mr,1,Nouakchott-Nord,3,,192 Avenue de la Paix,NaN,NaN,0.0261,200,5000,ACTIVE,2024-09-10,2024-09-10T07:19:23.183Z
257,MRC518375,5651,undefined du Sahel Nouakchott-Ouest,HAB,,El Hacen,Ould Limam,El Hacen Ould Limam,M,MAURE,+22233204816,undefineddusahe@nafadpay.mr,2,Nouakchott-Ouest,4,,51 Avenue Gamal,NaN,NaN,0.025,2000,30000,ACTIVE,2023-10-13,2023-10-13T03:48:38.085Z
317,MRC081411,5411,undefined Al Amane Nouakchott-Sud,ALM,,Minetou,Mint Maloum,Minetou Mint Maloum,F,MAURE,+22246741320,undefinedalaman@nafadpay.mr,3,Nouakchott-Sud,8,,80 Avenue Gamal,NaN,NaN,0.0057,200,5000,ACTIVE,2024-06-12,2024-06-12T15:41:15.435Z
11,MRC389292,5411,undefined Teyarett Nouakchott-Nord,ALM,,Mokhtar,Thiaw,Mokhtar Thiaw,M,WOLOF,+22233741314,undefinedteyare@nafadpay.mr,1,Nouakchott-Nord,2,,185 Avenue Principale,NaN,NaN,0.0162,200,5000,ACTIVE,2023-12-13,2023-12-13T02:15:32.590Z
179,MRC534097,5411,undefined Al Madina Nouakchott-Sud,ALM,,Aissata,Mint Ahmedou,Aissata Mint Ahmedou,F,MAURE,+22246446130,undefinedalmadi@nafadpay.mr,3,Nouakchott-Sud,7,,198 Avenue Principale,NaN,NaN,0.0283,200,5000,ACTIVE,2022-01-24,2022-01-24T22:25:16.939Z
327,MRC623267,5411,undefined Essalem Nouakchott-Ouest,ALM,,Cheikhna,Bathily,Cheikhna Bathily,M,WOLOF,+22241741320,undefinedessale@nafadpay.mr,2,Nouakchott-Ouest,5,,199 Avenue Nasser,NaN,NaN,0.009,200,5000,ACTIVE,2023-07-20,2023-07-20T18:56:59.573Z
298,MRC268701,5411,undefined du Progrès Dakhlet Nouadhibou,ALM,,Mohamed,Diagana,Mohamed Diagana,M,WOLOF,+22249741319,undefinedduprog@nafadpay.mr,4,Dakhlet Nouadhibou,10,,178 Avenue Gamal,NaN,NaN,0.008,200,5000,ACTIVE,2021-11-21,2021-11-21T19:29:02.582Z
17,MRC635724,5411,undefined El Khair Dakhlet Nouadhibou,ALM,,Soumaïla,Camara,Soumaïla Camara,M,SONINKE,+22223741314,undefinedelkhai@nafadpay.mr,4,Dakhlet Nouadhibou,10,,156 Avenue du Commerce,NaN,NaN,0.025,200,5000,ACTIVE,2023-12-18,2023-12-18T20:23:58.964Z
124,MRC761463,5411,undefined Ksar Nouakchott-Ouest,ALM,,Mohamed,Ould Nagi,Mohamed Ould Nagi,M,MAURE,+22233665326,undefinedksarno@nafadpay.mr,2,Nouakchott-Ouest,5,,188 Avenue Gamal,NaN,NaN,0.011,200,5000,ACTIVE,2021-09-16,2021-09-16T01:28:51.496Z
65,MRC835598,4812,undefined du Progrès Brakna,TEL,,Oumar,Barry,Oumar Barry,M,PEUL,+22223769540,undefinedduprog@nafadpay.mr,6,Brakna,19,,35 Avenue Nasser,NaN,NaN,0.0104,500,10000,ACTIVE,2023-02-06,2023-02-06T03:58:29.915Z
347,MRC273956,4812,undefined Central Nouakchott-Nord,TEL,,Djimé,Bah,Djimé Bah,M,PEUL,+22234741321,undefinedcentra@nafadpay.mr,1,Nouakchott-Nord,2,,172 Avenue du Commerce,NaN,NaN,0.01,500,10000,INACTIVE,2022-11-13,2022-11-13T14:07:44.103Z
105,MRC289887,8211,undefined El Baraka Nouakchott-Ouest,EDU,,Taleb,Ould Eleya,Taleb Ould Eleya,M,MAURE,+22224741315,undefinedelbara@nafadpay.mr,2,Nouakchott-Ouest,4,,89 Avenue du Commerce,NaN,NaN,0.0211,10000,100000,ACTIVE,2023-09-05,2023-09-05T08:48:09.938Z
492,MRC271879,8211,undefined Express Assaba,EDU,,Abeih,Ould Abdel Kader,Abeih Ould Abdel Kader,M,MAURE,+22245741328,undefinedexpres@nafadpay.mr,9,Assaba,30,,157 Avenue du Commerce,NaN,NaN,0.0256,10000,100000,ACTIVE,2024-06-27,2024-06-27T05:11:36.199Z
103,MRC825221,5411,undefined Teyarett Hodh Ech Chargui,ALM,,Amady,Diakité,Amady Diakité,M,WOLOF,+22233527705,undefinedteyare@nafadpay.mr,10,Hodh Ech Chargui,40,,96 Avenue Gamal,NaN,NaN,0.0293,200,5000,ACTIVE,2021-03-28,2021-03-28T11:25:50.449Z
323,MRC244343,5211,undefined Ksar Nouakchott-Nord,BTP,,Ahmed Baba,Ould Ethmane,Ahmed Baba Ould Ethmane,M,MAURE,+22237741320,undefinedksarno@nafadpay.mr,1,Nouakchott-Nord,3,,32 Avenue de la Paix,NaN,NaN,0.0109,5000,500000,ACTIVE,2024-12-18,2024-12-18T09:18:28.726Z
